ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3118601,Interior,Estadual,Urbana,296.549625,301.474024,Masculino,Parda,Abril,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,BA,2923001,Interior,Municipal,Urbana,368.254187,262.948113,Feminino,Parda,Julho,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,PR,4127403,Interior,Estadual,Urbana,302.176916,305.060746,Feminino,Branca,Agosto,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
2017,Nordeste,BA,2927408,Capital,Estadual,Urbana,216.199426,235.850562,Masculino,Parda,Março,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3115359,Interior,Estadual,Urbana,225.010563,217.32628,Masculino,Branca,Maio,2001,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Sim,Somente continuar estudando
2017,Nordeste,RN,2401909,Interior,Estadual,Urbana,260.743787,247.794864,Feminino,Parda,Maio,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3542206,Interior,Estadual,Urbana,266.677232,218.226649,Feminino,Parda,Novembro,2003,"Sim, três",Completou a Faculdade,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Entre 1 e 2 horas,Não,Ainda não sei
2017,Sudeste,MG,3106200,Capital,Municipal,Urbana,186.913282,201.959131,Feminino,Branca,Setembro,2002,"Sim, dois",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
2017,Sudeste,MG,3163508,Interior,Municipal,Rural,289.745429,319.544461,Masculino,NA,Fevereiro,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3161700,Interior,Estadual,Urbana,233.545957,254.479922,Masculino,Parda,Outubro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sul,PR,4122206,Interior,Estadual,Rural,283.165684,265.898781,Masculino,Parda,Agosto,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
