,ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
841,2017,Sudeste,SP,3538709,Interior,Estadual,Urbana,301.339552,258.30172799999997,Feminino,Branca,Setembro,2002,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
843,2017,Nordeste,PI,2202208,Interior,Estadual,Urbana,286.7689,259.74665600000003,Feminino,Parda,Agosto,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
844,2017,Nordeste,MA,2100055,Interior,Municipal,Urbana,297.681077,252.86206299999998,Feminino,Parda,Julho,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
845,2017,Nordeste,PB,2505709,Interior,Municipal,Rural,229.756746,207.599729,Feminino,Parda,Junho,2002,Não tem,Nunca estudou,Nunca estudou,Menos de 1 hora,Entre 1 e 2 horas,Não,Somente continuar estudando
846,2017,Nordeste,CE,2304400,Capital,Municipal,Urbana,284.53288100000003,236.04244100000003,Masculino,Preta,Agosto,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Não faço trabalhos domésticos,Não,Somente continuar estudando
847,2017,Sudeste,SP,3509502,Interior,Estadual,Urbana,273.446333,244.43008999999998,Feminino,Branca,Junho,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
848,2017,Nordeste,CE,2313500,Interior,Municipal,Rural,300.819471,237.78868500000002,Feminino,Parda,Fevereiro,2003,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
849,2017,Nordeste,CE,2308377,Interior,Municipal,Urbana,173.077245,201.718682,Masculino,Parda,Janeiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Ainda não sei
850,2017,Nordeste,BA,2925808,Interior,Municipal,Rural,258.802077,283.661586,Feminino,Branca,Março,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
851,2017,Sul,PR,4106902,Capital,Estadual,Urbana,260.446669,298.260494,Feminino,Branca,Setembro,2002,"Sim, dois",Completou a Faculdade,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
