ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,171.865246,160.322477,Feminino,Parda,Janeiro,2003,"Sim, um",Completou a Faculdade,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MT,5103403,Capital,Estadual,Urbana,323.19856,317.516184,Feminino,Preta,Julho,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304904,Interior,Municipal,Urbana,258.847143,255.275885,Feminino,Amarela,Março,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,287.339006,285.655657,Masculino,Parda,Abril,2002,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2307908,Interior,Municipal,Urbana,247.398963,273.105146,Masculino,Parda,Maio,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Entre 1 e 2 horas,Sim,Somente continuar estudando
2017,Sudeste,SP,3518800,Interior,Estadual,Urbana,254.244148,317.4561,Masculino,Não quero declarar,Dezembro,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3162104,Interior,Estadual,Urbana,251.229659,218.816649,Feminino,Parda,Agosto,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,"Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3105608,Interior,Municipal,Rural,312.512706,357.108129,Masculino,Parda,Setembro,2001,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Nordeste,PI,2203404,Interior,Municipal,Urbana,171.485487,229.582741,Masculino,Parda,Dezembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,RR,1400100,Capital,Estadual,Urbana,228.869522,236.084751,Masculino,Preta,Janeiro,2001,Não tem,Completou a Faculdade,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Sim,Somente continuar estudando
2017,Sudeste,ES,3205002,Interior,Municipal,Urbana,211.140864,273.98165,Feminino,Branca,Março,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,209.057122,155.6387,NA,Parda,Fevereiro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3518800,Interior,Estadual,Urbana,307.444062,276.645534,Masculino,Branca,Setembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2101202,Interior,Municipal,Rural,218.50624,194.503207,Masculino,NA,Abril,2001,Não tem,Completou a Faculdade,Nunca estudou,Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Norte,PA,1504455,Interior,Municipal,Urbana,227.118269,214.018348,Masculino,Parda,Novembro,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Sim,Ainda não sei
2017,Sul,SC,4218301,Interior,Municipal,Urbana,286.035056,285.21802,Masculino,Branca,Março,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
2017,Nordeste,MA,2102606,Interior,Municipal,Urbana,246.227512,210.386521,Feminino,Parda,Fevereiro,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
